AND	論理和
Abstract	概要
Accelerator	アクセラレータ
Accept	受諾
Account	アカウント
Active	アクティブ
Actor	俳優
Actuator	作動装置
Add	追加
Address	アドレス
Adjust	調整
Administration	管理
Aggregate	総計
Alarm	アラーム
Align	整列
Allow	許可
Alpha	アルファ
Also used as a synonym to active.	有効な類義語としても使用されています．
Analog	アナログ
Analysis	解析
Anchor	アンカー
Animation	アニメーション
Anonymous	匿名
Answer mode	返答モード
Antialiasing	アンチエイリアシング
Append	追加
Applet	アプレット
Application	アプリケーション
Application Launcher	アプリケーションランチャー
Applix	付録
Arc	円弧
Argument	引数
Array	配列
Arrow key	十字キー
Article	雑誌
Ascending order	昇順
Ascii	Ascii
Asynchronous	非同期
Attachment	添付
Attribute	属性
Audio	オーディオ
Authentication	認証
Author	作者
Autofill	オートフィル
Availability	有効性
Average	平均
Axis	軸
Background	背景
Backup	バックアップ
Balance	バランス
Base	底
Binary	バイナリ
Binding	結合
Binomial distribution	二項分布
Bit	ビット
Bitmap	ビットマップ
Blank	空白
Blinking cursor	点滅中のカーソル
Blocked	ブロックする
Blur image	ぼかした画像
Bold	太字
Boolean	論理値
Box	ボックス
Branch	ブランチ
Bricks	固定資産
Browse	閲覧
Browser	ブラウザ
Buffer	バッファ
Build	構築
Bullet	丸
Bulletin Board	掲示版
Bus	バス
Busy	ビジー
Button	ボタン
Byte	バイト
C	C
CD	CD
CDE panel	CDEパネル
CORBA	CORBA
CPU	CPU
Cache	キャッシュ
Calculator	演算装置
Calendar	カレンダー
Call	呼出し
Cancel	取消し
Caption	見出し
Case Sensitive	大文字・小文字を区別
Categories	部類
Cell	セル
Cellular	セルの
Center	中央
Channel	チャンネル
Character set	文字集合
Chat	チャット
Check bit	チェックビット
Checkbox	チェックボックス
Class	クラス
Classification	分類
Clear	消去
Clipboard	クリップボード
Close	閉じる
Coefficient	係数
Collaboration	協力
Collate	照合
Collision	衝突
Command	命令
Command Line	コマンドライン
Command line options	コマンドラインオプション
Common properties	共通プロパティ
Compare	比較
Concatenate	連結
Condition	状態
Conduit	溝
Confidential	機密
Configuration	設定
Confirm	確認
Confirmation	承認
Connection	接続
Constraint	制約
Content	内容
Continue	続行
Control	制御
Conversion	変換
Copy	複写
Copyright	著作権表示
Core file	coreファイル
Correlation	相互関係
Cost	費用
Count	回数
Covariance	共分散
Create	作成
Criteria range	標準範囲
Critical error	致命的なエラー
Crop	切り抜き
Cross-reference	相互参照
Ctrl	Ctrl
Cumulative	累積
Current	現在の
Curve	曲線
Customize	カスタマイズ
Cut	切り取り
DMA	DMA
DNS	DNS
Daemon	デーモン
Data	データ
Debug	デバッグ
Decrease	減少
Default	初期値
Delete	削除
Dependence	依存関係
Derived	派生的
Descending sort	降順並び変え
Descriptor	ディスクリプタ
Desktop	デスクトップ
Desktop Environment	デスクトップ環境
Destination	移動先
Destroy	破棄
Detection	検出
Device	装置
Diagonal	対角線
Diagram	ダイアグラム
Dial	ダイアル
Dialog Box	ダイアログボックス
Dialout Device	発信デバイス
Digits	数字
Dimension	方向
Direction	方向
Directory	ディレクトリ
Disable	無効
Discard	破棄
Disconnect	未接続
Discrete	離散
Dismiss	棄却
Display	ディスプレイ
Dissipation	損失
Distribute	分散
Distribution list	配布物
Dithering	ディザリング
Division by zero	零による除算
Document	文書
Domain	ドメイン
Dot	ドット
Download	ダウンロード
Drawing Area	描写領域
Drop	ドロップ
Druid	ドルイド
Duplicate...	複製...
Dynamic	動的
E-mail	E-mail
Echo	エコー
Edge	縁
Edit	編集
Effects	影響
Eject	取り出し
Electronic Mail	電子メール
Enable	有効
Encapsulated Postscript	Encapsulated Postscript
Encoding	符号化方式
Engineering	エンジニアリング
Entity	実体
Equation	等式
Error	エラー
Ethernet	イーサネット
Event	イベント
Exception	例外
Exclusive OR	排他的論理和
Execute	実行
Exit	終了
Expanded memory	拡張メモリ
Explicit state	明確な状態
Exponential notation	指数指定
Export	エクスポート
Extension	拡張子
Extract	抽出
FTP	FTP
Favorite	お気に入り
Fax	ファックス
Field	欄
File	ファイル
Filename	ファイル名
Filesystem	ファイルシステム
Fill	塗りつぶし
Filter	フィルター
Find	検索
Firmware	ファームウェア
Fixed Font	固定幅フォント
Float	浮動小数点定数
Floppy	フロッピー
Flow analysis	フロー解析
Flowchart	流れ図
Folder	フォルダ
Font	書体
Footer	フッター
Forecast	予測
Foreground	前景
Form	フォーム
Format	形式
Formula	式
Fourier Analysis	フーリエ解析
Fraction	分数
Frame	フレーム
Free Software	フリーソフトウェア
Frequency	周波数
Function	関数
GNOME	GNOME
GNU	GNU(フリーソフトウェア財団)
GPL	GPL(GNU一般公有使用許諾契約書)
GUI	GUI
Gamma	ガンマ
Geometry	幾何学
Global	大域
Grab	取得
Gradient	勾配
Graph	グラフ
Graphical user interface	グラフィカルユーザインターフェイス
Grid	マス目
Group	グループ
Gtk	GTK
Gutter	のり白
HTML	HTML
HTTP	HTTP
Hacker	ハッカー
Handle	ハンドル
Handshake	握手
Hard Disk	ハードティスク
Header	ヘッダー
Headword	見出し語
Hello World	こんにちは、世界
Help	ヘルプ
Hex	16進数
Hidden file	隠しファイル
Hide	隠す
Highlight...	ハイライト...
Histogram	ヒストグラム
History	履歴
Home	ホーム
Home Page	ホームページ
Home directory	ホームディレクトリ
Homogeneous environment	同じ環境
Host	ホスト
